longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
138.9336662,37.8540773,4718,4A471,街区多角点節点,205826.69,38161.607,2.325,38.287, 
138.9144229,37.8539246,4719,4A470,街区多角点節点,205802.067,36468.302,26.976,38.271, 
138.9258504,37.8540597,4720,4A469,街区多角点節点,205821.576,37473.836,2.871,38.279, 
138.937688,37.8541729,4721,4A468,街区多角点節点,205838.965,38515.465,1.62,38.291, 
138.9184622,37.8548363,4723,4A466,街区多角点節点,205904.83,36823.303,29.791,38.271, 
138.9364146,37.8546937,4724,4A465,街区多角点節点,205896.232,38403.135,1.7,38.288, 
138.9198088,37.8548292,4725,4A464,街区多角点節点,205904.575,36941.805,25.998,38.272, 
138.919162,37.8550739,4726,4A463,街区多角点節点,205931.47,36884.76,28.501,38.271, 
138.9334838,37.8547782,4727,4A462,街区多角点節点,205904.412,38145.182,3.627,38.285, 
138.9316922,37.855111,4728,4A461,街区多角点節点,205940.614,37987.364,3.172,38.282, 
138.9357639,37.8550543,4729,4A460,街区多角点節点,205935.98,38345.686,2.339,38.287, 
138.9204909,37.8553637,4730,4A459,街区多角点節点,205964.165,37001.55,26.764,38.764, 
138.9261053,37.855543,4731,4A458,街区多角点節点,205986.3,37495.512,4.551,38.275, 
138.9274428,37.8558376,4732,4A457,街区多角点節点,206019.538,37613.056,3.799,38.276, 
138.9282528,37.85616,4733,4A456,街区多角点節点,206055.641,37684.172,4.268,38.276, 
138.9264437,37.8561812,4734,4A455,街区多角点節点,206057.26,37524.963,10.992,38.274,撤去及び亡失
138.933655,37.8563015,4735,4A454,街区多角点節点,206073.541,38159.461,4.804,38.281, 
138.9290261,37.8564656,4736,4A453,街区多角点節点,206089.876,37752.06,2.57,38.276, 
138.9252863,37.856682,4737,4A452,街区多角点節点,206112.38,37422.861,19.593,38.271, 
138.9418318,37.8567288,4738,4A451,街区多角点節点,206124.347,38878.765,2.952,38.288, 
