longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006
139.1176883,37.9121572,5538,30A01,街区多角点,212363.859,54312.569,0.825,38.546, 
139.0970832,37.916923,6165,10D84,街区多角点,212880.985,52497.388,0.433,38.457, 
139.0962947,37.9182196,6169,10D80,街区多角点,213024.446,52427.136,0.582,38.451, 
139.1065968,37.920932,6170,10D79,街区多角点,213331.32,53330.96,0.85,38.479, 
139.1102916,37.9194737,6171,10D78,街区多角点,213171.597,53656.863,1.14,38.496, 
139.102455,37.9263854,6177,10B90,街区多角点,213934.212,52962.909,-0.014,38.45, 
139.1125711,37.9200254,5827,10B75,街区多角点,213234.146,53856.875,0.745,38.503, 
139.1024064,37.892257,5638,30A78,街区多角点,210146.44,52983.109,-0.02,38.555, 
139.1037011,37.8923227,5639,30A77,街区多角点,210154.473,53096.928,1.168,38.56, 
139.106083,37.9050756,5652,30A08,街区多角点,211571.209,53297.228,0.818,38.526, 
139.0968092,37.913864,5738,10C28,街区多角点,212541.332,52475.463,0.906,38.466, 
139.0985781,37.9144152,5748,10C18,街区多角点,212603.507,52630.604,0.78,38.47, 
139.0976944,37.9160455,5749,10C17,街区多角点,212783.946,52551.747,0.781,38.462, 
139.0992892,37.9166395,5750,10C16,街区多角点,212850.767,52691.545,0.437,38.465, 
139.0986233,37.9176084,5751,10C15,街区多角点,212957.929,52632.306,0.261,38.46, 
139.0979296,37.9188845,5752,10C14,街区多角点,213099.161,52570.401,0.671,38.455, 
139.1002791,37.9182576,5753,10C13,街区多角点,213030.919,52777.425,0.335,38.464, 
139.0995063,37.9194349,5754,10C12,街区多角点,213161.14,52708.638,0.694,38.458, 
139.0980618,37.923452,5755,10C11,街区多角点,213606.165,52578.771,-0.288,38.443, 
139.0971638,37.9249667,5756,10C10,街区多角点,213773.764,52498.758,0.856,38.436, 
139.0969692,37.9264397,5757,10C09,街区多角点,213937.133,52480.591,-0.253,38.431, 
139.0974132,37.9286621,5758,10C08,街区多角点,214184.042,52518.042,-0.332,38.427, 
139.1022182,37.9183681,5759,10C07,街区多角点,213044.279,52947.835,0.514,38.471, 
139.1011523,37.9201365,5760,10C06,街区多角点,213239.941,52852.854,0.833,38.462, 
139.1000841,37.9219384,5761,10C05,街区多角点,213439.316,52757.653,0.383,38.453, 
139.0988234,37.9269331,5762,10C04,街区多角点,213992.944,52643.257,-0.048,38.436, 
139.0992896,37.9283739,5763,10C03,街区多角点,214153.118,52683.201,-0.553,38.433, 
139.0993378,37.929413,5764,10C02,街区多角点,214268.473,52686.703,-0.225,38.431, 
139.0998208,37.9308977,5765,10C01,街区多角点,214433.526,52728.102,2.7,38.428, 
139.105551,37.9160755,5766,10B99,街区多角点,212791.733,53242.515,1.006,38.489,撤去及び亡失
139.1045237,37.9177817,5767,10B98,街区多角点,212980.502,53150.961,0.351,38.48, 
139.1037552,37.9189218,5768,10B97,街区多角点,213106.601,53082.578,0.463,38.475, 
139.1072193,37.9165831,5769,10B96,街区多角点,212849.02,53388.839,0.829,38.493, 
139.1062998,37.9181337,5770,10B95,街区多角点,213020.589,53306.863,0.576,38.486, 
139.1051396,37.9199411,5771,10B94,街区多角点,213220.529,53203.551,2.964,38.477, 
139.1042093,37.9214736,5772,10B93,街区多角点,213390.07,53120.665,1.874,38.469, 
139.104752,37.9230551,5773,10B92,街区多角点,213565.908,53167.239,0.405,38.467, 
139.1020966,37.92504,5774,10B91,街区多角点,213784.691,52932.365,0.305,38.452, 
139.1027435,37.9282062,5813,10B89,街区多角点,214136.467,52986.961,-0.049,38.446, 
139.1084028,37.9203118,5814,10B87,街区多角点,213263.533,53490.197,0.885,38.487, 
139.106876,37.9216418,5815,10B86,街区多角点,213410.261,53354.994,0.209,38.478, 
139.1061546,37.9228929,5816,10B85,街区多角点,213548.705,53290.669,-0.065,38.472, 
139.1080854,37.9190589,5817,10B88,街区多角点,213124.29,53463.194,0.792,38.49, 
139.1059901,37.9264277,5818,10B84,街区多角点,213940.927,53273.658,-0.064,38.462, 
139.1134393,37.9164408,5819,10B83,街区多角点,212836.807,53935.829,0.652,38.516, 
139.1123509,37.9178982,5820,10B82,街区多角点,212997.932,53839.063,0.276,38.508, 
139.1104526,37.9208658,5821,10B81,街区多角点,213326.196,53670.008,0.556,38.493, 
139.1089047,37.9243486,5822,10B80,街区多角点,213711.849,53531.399,1.216,38.478, 
139.1082323,37.9261074,5823,10B79,街区多角点,213906.664,53471,0.294,38.471, 
139.1091446,37.9270906,5824,10B78,街区多角点,214016.306,53550.492,0.365,38.471, 
139.1150102,37.9171192,5825,10B77,街区多角点,212913.015,54073.458,0.581,38.52, 
139.1134698,37.9188407,5826,10B76,街区多角点,213103.178,53936.751,1.012,38.509, 
139.1168472,37.9174219,5828,10B74,街区多角点,212947.677,54234.743,0.411,38.526, 
139.1157709,37.9189279,5829,10B73,街区多角点,213114.198,54139.006,0.958,38.517, 
139.1147983,37.9202036,5830,10B72,街区多角点,213255.219,54052.561,1.182,38.51, 
139.1135825,37.9239108,5831,10B71,街区多角点,213665.952,53942.967,0.692,38.496, 
139.1142962,37.9256421,5832,10B70,街区多角点,213858.519,54004.446,0.6,38.493, 
139.118483,37.918157,5833,10B69,街区多角点,213030.215,54378.021,0.449,38.529, 
139.117609,37.9193854,5834,10B68,街区多角点,213166.033,54300.282,1.161,38.523, 
139.1162208,37.9209676,5835,10B67,街区多角点,213340.827,54177.069,1.33,38.513, 
139.1157266,37.9238373,5836,10B66,街区多角点,213659.035,54131.519,0.908,38.504, 
139.1159259,37.9253545,5837,10B65,街区多角点,213827.546,54147.926,0.722,38.5, 
139.1001039,37.925023,5841,10D59,街区多角点,213781.676,52757.186,0.254,38.445,撤去及び亡失
139.1048495,37.9248811,5842,10D58,街区多角点,213768.62,53174.495,0.617,38.462, 
139.1114719,37.9242283,5843,10D57,街区多角点,213699.979,53757.173,0.615,38.487, 
139.1195755,37.923443,5844,10D56,街区多角点,213617.514,54470.186,0.906,38.518, 
139.1009682,37.9281274,5849,10D51,街区多角点,214126.702,52830.958,-0.656,38.44, 
139.2170581,37.9264354,4149,60A09,街区多角点,214011.079,63037.942,1.587,38.941,撤去及び亡失
139.2212051,37.9165897,4200,60A23,街区多角点,212921.151,63410.978,1.699,38.997, 
139.225151,37.9173246,4201,60A22,街区多角点,213005.404,63757.285,1.724,39.015, 
139.2237238,37.9190553,4202,60A21,街区多角点,213196.517,63630.308,1.734,39.001, 
139.2204667,37.9188028,4203,60A20,街区多角点,213166.274,63344.152,1.781,38.985, 
139.2266453,37.9182612,4204,60A19,街区多角点,213110.381,63887.851,1.677,39.02, 
139.2254395,37.9212916,4205,60A18,街区多角点,213445.889,63779.227,1.795,39.002, 
139.2175331,37.916856,4206,60A17,街区多角点,212948.211,63087.886,2.023,38.976, 
139.2162338,37.9192801,4207,60A16,街区多角点,213216.381,62971.588,2.341,38.961, 
139.2186781,37.9208358,4208,60A15,街区多角点,213390.694,63185.157,2.43,38.969, 
139.2228931,37.9058405,4948,60A55,街区多角点,211729.292,63568.644,1.35,39.049, 
139.2248935,37.907578,4949,60A54,街区多角点,211923.496,63743.058,1.152,39.052, 
139.2209473,37.9069547,4950,60A53,街区多角点,211851.637,63396.573,1.476,39.034, 
139.2209106,37.9083078,4951,60A52,街区多角点,212001.784,63392.189,1.574,39.028, 
139.2207879,37.9102181,4952,60A51,街区多角点,212213.71,63379.761,1.389,39.02, 
139.2087365,37.9094579,4953,60A50,街区多角点,212121.214,62320.694,1.431,38.959, 
139.2112737,37.9079608,4954,60A49,街区多角点,211956.763,62545.069,1.918,38.979, 
139.2145764,37.9084208,4955,60A48,街区多角点,212010.033,62835.09,1.786,38.994, 
139.2120532,37.909207,4956,60A47,街区多角点,212095.596,62612.555,2.346,38.978, 
139.2139921,37.911898,4957,60A46,街区多角点,212395.56,62780.765,2.421,38.978, 
139.2160673,37.9130334,4958,60A45,街区多角点,212522.977,62962.263,2.48,38.984, 
139.2145028,37.9149207,4959,60A44,街区多角点,212731.383,62823.095,1.752,38.968, 
139.2059613,37.9160085,4960,60A43,街区多角点,212846.398,62071.156,1.525,38.919, 
139.2087179,37.9157563,4961,60A42,街区多角点,212820.237,62313.746,1.602,38.935, 
139.2086856,37.9171429,4962,60A41,街区多角点,212974.117,62309.737,1.608,38.929, 
139.2058502,37.9184516,4963,60A40,街区多角点,213117.467,62059.337,1.311,38.91, 
139.2079645,37.9124265,4964,60A39,街区多角点,212450.178,62250.301,1.078,38.944, 
139.2113816,37.9128168,4965,60A38,街区多角点,212495.776,62550.444,1.654,38.96, 
139.21025,37.9141931,4966,60A37,街区多角点,212647.777,62449.771,1.013,38.949, 
139.2128795,37.9165099,4967,60A36,街区多角点,212906.662,62679.014,1.471,38.953, 
139.2093009,37.9193206,4968,60A35,街区多角点,213216.21,62361.995,1.401,38.925, 
139.2146774,37.9181198,4969,60A34,街区多角点,213086.558,62835.727,1.647,38.957, 
139.2119578,37.9184426,4970,60A33,街区多角点,213120.553,62596.339,1.346,38.942, 
139.2153762,37.9212087,4971,60A32,街区多角点,213429.845,62894.536,1.421,38.95, 
139.2258374,37.9121473,4972,60A31,街区多角点,212431.278,63822.107,1.442,39.039, 
139.2279487,37.9140555,4973,60A30,街区多角点,212644.503,64006.106,1.117,39.044, 
139.2243336,37.9092544,4974,60A29,街区多角点,212109.178,63692.376,0.995,39.043, 
139.2225552,37.9109766,4975,60A28,街区多角点,212299.095,63534.515,1.399,39.026, 
139.2209949,37.9126408,4976,60A27,街区多角点,212482.732,63395.885,1.428,39.011, 
139.219833,37.9141614,4977,60A26,街区多角点,212650.717,63292.417,2.235,38.999, 
139.2239507,37.9154299,4978,60A25,街区多角点,212794.309,63653.382,2.215,39.016, 
139.22633,37.9158738,4979,60A24,街区多角点,212845.198,63862.208,1.874,39.027, 
139.2240587,37.9229061,4436,60A14,街区多角点,213624.137,63656.432,2.376,38.989, 
139.2209837,37.9239698,4437,60A13,街区多角点,213740.097,63385.171,2.033,38.97, 
139.2181574,37.9226169,4438,60A12,街区多角点,213588.012,63137.859,1.714,38.96, 
139.1746189,37.9165959,4989,60A77,街区多角点,212891.189,59314.893,2.153,38.764, 
139.176885,37.9162706,4990,60A76,街区多角点,212856.525,59514.409,3.325,38.776, 
