longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006,SAFIELD007,SAFIELD008,SAFIELD009
139.0332479,37.8964359,286,2536A,街区三角点節点,210573.21,46897.745,-0.4,38.33,0.999927,375347.1694,1390159.6925, 
139.0390443,37.9021051,289,2533A,街区三角点節点,211205.33,47403.892,-0.02,38.33,0.999928,375407.5784,1390220.5596, 
139.0394504,37.9050201,291,2531A,街区三角点節点,211529.062,47437.731,-0.14,38.32,0.999928,375418.0725,1390222.0215,撤去及び亡失
139.0810726,37.9063996,292,2530A,街区三角点節点,211704.159,51096.945,0.88,38.44,0.999932,375423.0389,1390451.8614, 
139.078972,37.9101984,294,2528A,街区三角点節点,212124.618,50909.611,0.34,38.42,0.999932,375436.7145,1390444.2994, 
139.0556715,37.9116369,295,2527A,街区三角点節点,212271.8,48859.809,0,38.35,0.999929,375441.8929,1390320.4177, 
139.058881,37.9166362,298,2524A,街区三角点節点,212828.335,49138.699,0.68,38.34,0.99993,375459.8904,1390331.972, 
139.0649821,37.9167966,299,2523A,街区三角点節点,212849.371,49675.014,-0.09,38.36,0.99993,375500.4679,1390353.9356, 
139.0455256,37.9200651,300,2522A,街区三角点節点,213201.939,47962.207,0.49,38.3,0.999928,375512.2346,1390243.8924, 
139.0810602,37.9213294,301,2521A,街区三角点節点,213361.13,51085.53,4.87,38.39,0.999932,375516.7859,1390451.8168, 
139.0612736,37.9227262,303,2519A,街区三角点節点,213505.497,49344.99,0.59,38.33,0.99993,375521.8144,1390340.5852, 
139.0847412,37.9247651,304,2518A,街区三角点節点,213744.468,51406.769,-0.13,38.4,0.999933,375529.1545,1390505.0685, 
139.0296978,37.9257907,305,2517A,街区三角点節点,213829.37,46567.011,7.61,38.25,0.999927,375532.8467,1390146.912, 
139.033181,37.9279547,306,2516A,街区三角点節点,214071.28,46871.86,9.82,38.25,0.999927,375540.6368,1390159.4517, 
139.0607601,37.9281672,307,2515A,街区三角点節点,214109.094,49296.216,2.06,38.32,0.99993,375541.4019,1390338.7367, 
139.0848447,37.92845,308,2514A,街区三角点節点,214153.495,51413.309,0.32,38.39,0.999933,375542.4201,1390505.4414, 
139.0361824,37.9294904,309,2513A,街区三角点節点,214243.241,47134.734,11.72,38.25,0.999927,375546.1656,1390210.2568, 
139.0723639,37.9318324,310,2512A,街区三角点節点,214522.085,50313.807,-0.37,38.34,0.999931,375554.5968,1390420.5102, 
139.0834195,37.9325834,311,2511A,街区三角点節点,214611.457,51285.148,2.36,38.37,0.999932,375557.3003,1390500.3107, 
139.0552733,37.9348981,318,2510A,街区三角点節点,214853.247,48809.412,14.32,38.29,0.999929,375605.6335,1390318.9839, 
139.0478813,37.9360126,319,2509A,街区三角点節点,214973.095,48158.91,11.19,38.27,0.999929,375609.6457,1390252.3727, 
139.0844271,37.9084667,329,1543A,街区三角点節点,211935.419,51390.492,0.83,38.44,0.999933,375430.4804,1390503.9377, 
139.0804569,37.9116588,330,1542A,街区三角点節点,212287.514,51039.176,0.27,38.42,0.999932,375441.972,1390449.6452, 
139.082655,37.9148785,332,1540A,街区三角点節点,212646.052,51230.214,0.52,38.42,0.999932,375453.5627,1390457.558, 
