longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006,SAFIELD007,SAFIELD008,SAFIELD009
139.0236832,37.9154016,813,2030A,街区三角点,212673.345,46044.733,21.9,38.26,0.999926,375455.4458,1390125.2598, 
139.0283598,37.9156377,814,2029A,街区三角点,212701.873,46455.77,15.11,38.27,0.999927,375456.2959,1390142.0953,撤去及び亡失
139.0217993,37.919124,819,2024A,街区三角点,213085.545,45876.771,4.3,38.25,0.999926,375508.8464,1390118.4774, 
139.0239189,37.8916158,846,2053A,街区三角点,210033.606,46080.286,-0.49,38.32,0.999926,375329.8171,1390126.1082, 
139.0192219,37.8926032,847,2052A,街区三角点,210140.886,45666.557,1.64,38.31,0.999926,375333.3718,1390109.199, 
139.0211496,37.8973283,849,2050A,街区三角点,210666.239,45833.176,2.41,38.3,0.999926,375350.382,1390116.1389, 
139.0119276,37.897805,850,2049A,街区三角点,210714.654,45021.832,10.23,38.28,0.999925,375352.0982,1390042.9393, 
139.0284195,37.89921,851,2048A,街区三角点,210878.674,46471.354,0.02,38.31,0.999927,375357.1561,1390142.3103, 
139.0110535,37.9021262,853,2046A,街区三角点,211193.815,44942.339,15.88,38.27,0.999925,375407.6543,1390039.7929, 
139.0207354,37.9029371,854,2045A,街区三角点,211288.522,45793.275,2.36,38.28,0.999926,375410.5736,1390114.6478, 
139.0183729,37.9046024,855,2044A,街区三角点,211472.193,45584.482,1.99,38.27,0.999926,375416.5688,1390106.1425,撤去及び亡失
139.0261728,37.9051783,856,2043A,街区三角点,211539.943,46270.035,1.6,38.29,0.999926,375418.6418,1390134.2223, 
139.0077784,37.9065474,857,2042A,街区三角点,211682.939,44651.645,18.8,38.25,0.999925,375423.5711,1390028.0023, 
139.027835,37.9088787,859,2040A,街区三角点,211951.461,46413.875,22.28,38.28,0.999927,375431.9634,1390140.206, 
139.018661,37.9094178,861,2038A,街区三角点,212006.769,45606.842,4.83,38.26,0.999926,375433.9043,1390107.1796, 
139.0090283,37.9100815,862,2037A,街区三角点,212075.765,44759.414,18.71,38.24,0.999925,375436.2937,1390032.5019, 
138.9806988,37.8922444,705,4010A,街区三角点,210082.903,42278.568,21.936,38.24,0.999922,375332.0801,1385850.5161, 
139.0014632,37.8933061,706,4009A,街区三角点,210210.34,44104.218,27.775,38.27,0.999924,375335.9019,1390005.2678, 
138.9968091,37.8935094,707,4008A,街区三角点,210230.718,43694.768,28.367,38.26,0.999924,375336.6339,1385948.5132,撤去及び亡失
139.0087064,37.8973329,708,4007A,街区三角点,210660.703,44738.835,8.324,38.28,0.999925,375350.3984,1390031.3434, 
138.9835965,37.8975746,709,4006A,街区三角点,210675.787,42530.351,5.589,38.23,0.999922,375351.2687,1385900.9474, 
138.9977443,37.900525,710,4005A,街区三角点,211009.788,43772.856,8.571,38.24,0.999924,375401.8904,1385951.8796, 
139.0066446,37.9009957,711,4004A,街区三角点,211066.232,44555.29,14.004,38.26,0.999924,375403.5846,1390023.9206, 
138.9914649,37.9018647,712,4003A,街区三角点,211155.535,43219.842,4.177,38.23,0.999923,375406.713,1385929.2737, 
139.0046496,37.9048365,713,4002A,街区三角点,211491.552,44377.542,7.381,38.25,0.999924,375417.4115,1390016.7388, 
139.0023965,37.9082676,714,4001A,街区三角点,211871.282,44177.351,7.644,38.23,0.999924,375429.7635,1390008.6273, 
139.0546725,37.8948403,779,3033A,街区三角点,210407.113,48783.052,-0.19,38.39,0.999929,375341.4253,1390316.8212, 
139.0686184,37.8950769,780,3032A,街区三角点,210440.753,50009.436,-0.04,38.43,0.999931,375342.2769,1390407.0265, 
139.0791337,37.8971968,782,3030A,街区三角点,210681.72,50932.793,-0.02,38.46,0.999932,375349.9086,1390444.8816, 
139.0459183,37.8972996,783,3029A,街区三角点,210675.516,48011.524,-0.54,38.36,0.999928,375350.2788,1390245.3061, 
139.0595505,37.8986765,784,3028A,街区三角点,210835.436,49209.51,19.59,38.4,0.99993,375355.2357,1390334.3817, 
139.0888795,37.8990834,786,3026A,街区三角点,210896.478,51788.589,17.63,38.49,0.999933,375356.7006,1390519.9665, 
139.0846321,37.9006813,789,3023A,街区三角点,211071.464,51413.935,-0.28,38.47,0.999933,375402.4528,1390504.6757, 
139.0500373,37.9017587,790,3022A,街区三角点,211172.533,48370.859,0.34,38.36,0.999929,375406.3314,1390300.1345, 
139.0794582,37.901817,791,3021A,街区三角点,211194.674,50958.144,-0.19,38.45,0.999932,375406.5414,1390446.0497,撤去及び亡失
139.0445146,37.9028297,793,3019A,街区三角点,211288.546,47884.483,17.62,38.34,0.999928,375410.187,1390240.2525, 
139.0940536,37.9033654,795,3017A,街区三角点,211374.594,52240.599,1.25,38.49,0.999934,375412.1155,1390538.5933, 
139.0654244,37.9035812,796,3016A,街区三角点,211382.894,49722.809,0.49,38.4,0.99993,375412.8924,1390355.5284, 
139.0487674,37.9049796,797,3015A,街区三角点,211529.348,48257.076,11.36,38.35,0.999929,375417.9267,1390255.5628, 
139.0559395,37.9049743,798,3014A,街区三角点,211532.499,48887.782,15.09,38.37,0.999929,375417.9078,1390321.3825, 
139.0737542,37.9066248,802,3010A,街区三角点,211725.168,50453.24,1.68,38.41,0.999931,375423.8496,1390425.5152, 
139.0313869,37.8913676,808,3040A,街区三角点,210009.77,46737.282,0.07,38.34,0.999927,375328.9234,1390152.9931, 
139.0506661,37.9135687,810,2033A,街区三角点,212483.597,48418.412,15.45,38.33,0.999929,375448.8477,1390302.398,撤去及び亡失
139.0420177,37.9142923,811,2032A,街区三角点,212559.446,47657.515,15.27,38.3,0.999928,375451.4525,1390231.2639, 
139.0364139,37.9144132,812,2031A,街区三角点,212570.017,47164.717,29.64,38.29,0.999927,375451.8878,1390211.0903,撤去及び亡失
139.0775836,37.9154762,815,2028A,街区三角点,212709.614,50783.895,0.06,38.4,0.999932,375455.7144,1390439.301, 
139.0687199,37.9177485,816,2027A,街区三角点,212957.015,50003.017,32.08,38.37,0.999931,375503.8947,1390407.3919, 
139.0441013,37.9178607,817,2026A,街区三角点,212956.554,47838.409,0.25,38.3,0.999928,375504.2988,1390238.7649, 
139.0314026,37.9186757,818,2025A,街区三角点,213040.563,46721.399,21.77,38.27,0.999927,375507.2326,1390153.0498, 
139.0788309,37.9194551,820,2023A,街区三角点,213151.896,50890.825,14.92,38.39,0.999932,375510.0385,1390443.7914, 
139.0604292,37.9203162,821,2022A,街区三角点,213237.57,49272.361,16.59,38.34,0.99993,375513.1382,1390337.5453, 
139.0727311,37.9212553,822,2021A,街区三角点,213348.373,50353.302,0.85,38.37,0.999931,375516.5191,1390421.8322, 
139.0563394,37.9216393,823,2020A,街区三角点,213382.271,48911.91,2.08,38.32,0.999929,375517.9017,1390322.822, 
139.0400011,37.9236478,824,2019A,街区三角点,213596.732,47474.188,20.01,38.28,0.999928,375525.1321,1390224.0041, 
139.0633133,37.924442,825,2018A,街区三角点,213697.008,49523.165,0.95,38.33,0.99993,375527.9913,1390347.9281, 
139.0471322,37.9261074,826,2017A,街区三角点,213873.37,48099.52,0.18,38.29,0.999928,375533.9867,1390249.6761, 
139.0693789,37.9260894,827,2016A,街区三角点,213883.083,50055.306,24.5,38.35,0.999931,375533.9219,1390409.7644, 
139.0422819,37.9270171,828,2015A,街区三角点,213971.847,47672.53,16.86,38.27,0.999928,375537.2618,1390232.215, 
139.0527867,37.9274111,829,2014A,街区三角点,214020.997,48595.762,18.3,38.3,0.999929,375538.6801,1390310.0321, 
139.0567916,37.927756,830,2013A,街区三角点,214061.37,48947.614,1.44,38.31,0.999929,375539.9217,1390324.45, 
139.078078,37.9302917,831,2011A,街区三角点,214354.184,50817.173,2.85,38.36,0.999932,375549.0501,1390441.081, 
139.0451173,37.9305583,832,2010A,街区三角点,214366.317,47919.494,17.08,38.27,0.999928,375550.01,1390242.4223,撤去及び亡失
139.0661883,37.9307808,833,2009A,街区三角点,214402.05,49771.641,27.74,38.33,0.99993,375550.8109,1390358.2779, 
139.0498415,37.9320258,834,2008A,街区三角点,214531.626,48333.826,-0.56,38.28,0.999929,375555.293,1390259.4295, 
139.0784715,37.9083224,835,3008A,街区三角点,211916.139,50866.895,0.29,38.42,0.999932,375429.9609,1390442.4977, 
