longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005
139.1226397,37.7777601,13990,7B069,補助点,197450.813,54847.395,11.889, 
139.1212087,37.7777422,13991,7B067,補助点,197447.988,54721.359,10.347, 
139.1202472,37.7777848,13992,7B065,補助点,197452.158,54636.627,10.019, 
139.1348971,37.7961644,15915,7A896,補助点,199500.638,55913.273,6.34, 
139.1352537,37.7964576,15916,7A895,補助点,199533.395,55944.458,6.322, 
139.133256,37.7955389,15917,7A894,補助点,199430.237,55769.215,7.977, 
139.1331611,37.7961316,15918,7A893,補助点,199495.966,55760.416,6.441, 
139.133317,37.7968366,15919,7A892,補助点,199574.296,55773.617,6.475, 
139.1316758,37.7966763,15920,7A891,補助点,199555.53,55629.199,6.662, 
139.1311851,37.7934802,15921,7A890,補助点,199200.527,55588.373,6.286, 
139.1302115,37.7930781,15922,7A889,補助点,199155.311,55502.934,6.196, 
139.1300351,37.7933043,15923,7A888,補助点,199180.318,55487.229,6.498, 
139.1189017,37.7780226,13993,7B063,補助点,197477.762,54517.927,8.824, 
139.1210522,37.7781908,13994,7B062,補助点,197497.687,54707.237,10.247, 
139.1194766,37.7787753,13995,7B061,補助点,197561.638,54568.017,8.793, 
139.1196808,37.7790189,13996,7B060,補助点,197588.786,54585.825,8.709, 
139.1224674,37.7782136,13997,7B059,補助点,197501.046,54831.883,22.769, 
139.1219551,37.7782965,13998,7B058,補助点,197509.941,54786.69,22.98, 
139.1425261,37.8005428,14713,7A797,補助点,199991.15,56581.801,6.008, 
139.133068,37.7991854,14723,7A778,補助点,199834.821,55749.915,6.216, 
139.1339166,37.7986832,14724,7A777,補助点,199779.599,55825.026,6.149, 
139.1350495,37.7992508,14725,7A776,補助点,199843.268,55924.362,6.171, 
139.1352235,37.7990484,14726,7A775,補助点,199820.914,55939.842,5.961, 
139.136187,37.8005181,14727,7A774,補助点,199984.597,56023.584,5.969, 
139.1340742,37.8000793,14729,7A772,補助点,199934.637,55837.855,5.772, 
139.1286216,37.8001018,14731,7A770,補助点,199933.885,55357.668,7.577, 
139.1300001,37.7995202,14732,7A769,補助点,199870.152,55479.498,5.909, 
139.1310076,37.7997812,14733,7A766,補助点,199899.726,55568.022,5.939, 
139.1289118,37.800571,14734,7A765,補助点,199986.138,55382.875,7.617, 
139.1234808,37.7800512,14747,7B049,補助点,197705.585,54919.797,24.4, 
139.1229708,37.7809996,14748,7B048,補助点,197810.53,54874.169,22.587, 
139.1228577,37.7794516,14749,7B046,補助点,197638.666,54865.344,19.6, 
139.1224747,37.7800916,14750,7B045,補助点,197709.476,54831.131,20.542, 
139.1198318,37.7846258,15381,7B033,補助点,198211.148,54594.998,10.389, 
139.121815,37.7834567,15382,7B032,補助点,198082.557,54770.549,14.817, 
139.1231539,37.7828062,15383,7B031,補助点,198011.142,54888.951,15.187, 
139.1215971,37.7843732,15384,7B028,補助点,198184.143,54750.675,8.47, 
139.1228453,37.7801525,14751,7B044,補助点,197716.453,54863.738,21.297, 
139.121131,37.7813941,14752,7B042,補助点,197853.24,54711.813,15.057, 
139.1214443,37.782335,14753,7B040,補助点,197957.846,54738.719,17.217, 
139.1208309,37.7839936,14754,7B039,補助点,198141.568,54683.464,12.305, 
139.1076273,37.7932486,14783,7A712,補助点,199161.075,53513.794,4.329, 
139.1083884,37.7934985,14784,7A711,補助点,199189.24,53580.646,4.397, 
139.1088015,37.7937884,14785,7A710,補助点,199221.655,53616.81,4.341, 
139.1069199,37.7928992,14786,7A709,補助点,199121.896,53451.746,4.348,撤去及び亡失
139.1054492,37.7928332,14787,7A708,補助点,199113.726,53322.26,4.153, 
139.1066345,37.7952687,15427,7A702,補助点,199384.708,53424.909,4.406, 
139.1064978,37.7962093,15428,7A700,補助点,199489.017,53412.18,4.337, 
139.1202381,37.7952453,15429,7A615,補助点,199389.968,54622.968,5.507, 
139.1162749,37.786988,14817,7A744,補助点,198471.238,54279.979,4.919, 
139.1157266,37.7881105,14818,7A743,補助点,198595.5,54230.867,5.004, 
139.1155346,37.7884385,14819,7A742,補助点,198631.79,54213.715,4.735, 
139.1170235,37.788062,14820,7A741,補助点,198590.876,54345.123,4.848, 
139.1166163,37.7888993,14821,7A740,補助点,198683.569,54308.645,4.842, 
139.1177145,37.7891818,14822,7A739,補助点,198715.554,54405.163,5.025, 
139.1172239,37.7891388,14823,7A738,補助点,198710.498,54361.986,4.861, 
139.1170843,37.7895044,14824,7A737,補助点,198750.989,54349.428,4.855, 
139.1210253,37.794835,15430,7A614,補助点,199344.893,54692.599,5.806, 
139.1211331,37.7957282,15431,7A613,補助点,199444.084,54701.433,5.773, 
139.1208304,37.796951,15432,7A612,補助点,199579.617,54673.87,5.954, 
139.1203718,37.7973827,15433,7A611,補助点,199627.26,54633.169,5.698, 
139.1196224,37.797353,15434,7A610,補助点,199623.525,54567.194,5.905, 
139.1194907,37.7977658,15435,7A609,補助点,199669.266,54555.293,5.509, 
139.1194906,37.7983969,15436,7A608,補助点,199739.306,54554.815,5.01, 
139.1196038,37.7986714,15437,7A607,補助点,199769.834,54564.583,4.788, 
139.1214913,37.7848337,15467,7B026,補助点,198235.19,54741.012,7.275, 
